primary_model,comparison_model,metric,primary_point,comparison_point,point_difference_primary_minus_comparison,ci_lower_95_difference,ci_upper_95_difference,bootstrap_p_two_sided,n_bootstrap_valid,threshold,interpretation
SACU_LearnedShallowMetaFusion,AdaptiveControlAgent,average_precision,0.39877184079463673,0.22682509168543263,0.1719467491092041,0.10390727760421258,0.23593957668125598,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,AdaptiveControlAgent,balanced_accuracy,0.6761615044247787,0.5216168879056047,0.15454461651917406,0.10498019535016963,0.20522019392861474,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,AdaptiveControlAgent,sensitivity_recall,0.4375,0.052083333333333336,0.3854166666666667,0.2894590643274854,0.4845438925335832,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,AdaptiveControlAgent,specificity,0.9148230088495575,0.9911504424778761,-0.07632743362831862,-0.09486628441930214,-0.05830558392162083,0.0,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,AdaptiveControlAgent,f1,0.39069767441860465,0.09174311926605505,0.2989545551525496,0.19632231273076034,0.3992958937198066,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,AdaptiveControlAgent,mcc,0.32055267326193376,0.11243790511528937,0.2081147681466444,0.08528792595944902,0.33428237514466896,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,Baseline_GradientBoosting,roc_auc,0.7161112647492625,0.7244826235250738,-0.0083713587758113,-0.04357070149551031,0.028323808703830146,0.625,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,Baseline_GradientBoosting,average_precision,0.39877184079463673,0.38174419239833135,0.017027648396305384,-0.017117310788776985,0.05279765361140568,0.366,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,Baseline_GradientBoosting,balanced_accuracy,0.6761615044247787,0.6101585545722714,0.06600294985250732,0.026010501878824095,0.11084758948332145,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,Baseline_GradientBoosting,sensitivity_recall,0.4375,0.22916666666666666,0.20833333333333334,0.13186813186813187,0.29591836734693877,0.0,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,Baseline_GradientBoosting,specificity,0.9148230088495575,0.9911504424778761,-0.07632743362831862,-0.09402750869595385,-0.059339030892269114,0.0,2000,0.5,comparison_higher_or_equal
SACU_LearnedShallowMetaFusion,Baseline_GradientBoosting,f1,0.39069767441860465,0.3492063492063492,0.04149132521225546,-0.04767960644125657,0.1372466383480847,0.345,2000,0.5,primary_higher
SACU_LearnedShallowMetaFusion,Baseline_GradientBoosting,mcc,0.32055267326193376,0.380471001592824,-0.059918328330890225,-0.14637583725362313,0.03627390309494892,0.23,2000,0.5,comparison_higher_or_equal
